epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_precision,val_recall,val_f1,val_sensitivity,val_specificity
0,1.1648706306134704,0.5822,1.3139129757881165,0.8715,0.7167,0.6429,0.8333,0.7258,0.8333,0.6212
1,1.0404223974299642,0.6898,1.6448083390792212,0.7795,0.6917,0.7073,0.537,0.6105,0.537,0.8182
2,0.9864635071395773,0.7381,1.2185500281552473,0.8833,0.8,0.8,0.7407,0.7692,0.7407,0.8485
3,0.953827524554413,0.7654,1.114038384022812,0.8387,0.7,0.625,0.8333,0.7143,0.8333,0.5909
4,0.916252745041805,0.7816,1.0421144670496385,0.8628,0.6083,0.5376,0.9259,0.6803,0.9259,0.3485
5,0.8312426827584221,0.8353,0.8831926613425215,0.9402,0.8917,0.902,0.8519,0.8762,0.8519,0.9242
6,0.8295122021974056,0.8302,0.9934828119973341,0.9273,0.8667,0.8654,0.8333,0.8491,0.8333,0.8939
7,0.7218678652197618,0.8723,0.8959249864642819,0.9315,0.8583,0.8246,0.8704,0.8468,0.8704,0.8485
8,0.6306296357258627,0.91,0.6695764034288004,0.9428,0.8667,0.7969,0.9444,0.8644,0.9444,0.803
9,0.5025070796385346,0.9414,0.6886477355107975,0.9265,0.8,0.7083,0.9444,0.8095,0.9444,0.6818
10,0.5922547580431158,0.9185,0.5391242375131696,0.966,0.9167,0.8793,0.9444,0.9107,0.9444,0.8939
11,0.5266502007429974,0.9353,0.5697043519699946,0.9613,0.9083,0.8644,0.9444,0.9027,0.9444,0.8788
12,0.49426719198308355,0.944,0.9491643851002057,0.9501,0.8833,0.9348,0.7963,0.86,0.7963,0.9545
13,0.460772572175509,0.9517,0.8919545035110786,0.9621,0.9,0.9565,0.8148,0.88,0.8148,0.9697
14,0.46314960218001716,0.9487,0.6699527178677575,0.9593,0.9,0.8889,0.8889,0.8889,0.8889,0.9091
15,0.36560375312141313,0.9696,0.660638843922061,0.9464,0.8,0.6974,0.9815,0.8154,0.9815,0.6515
16,0.447130128298268,0.953,0.5926361194307295,0.9517,0.8833,0.8226,0.9444,0.8793,0.9444,0.8333
17,0.2550305217994888,0.987,0.7874979157738077,0.9624,0.8833,0.9,0.8333,0.8654,0.8333,0.9242
18,0.19284046244873476,0.9933,0.7786461184722915,0.9602,0.9,0.92,0.8519,0.8846,0.8519,0.9394
19,0.1566262759530991,0.9961,0.800751502882243,0.963,0.9,0.92,0.8519,0.8846,0.8519,0.9394
20,0.14120975319474866,0.9961,0.7881761848191673,0.9624,0.9,0.92,0.8519,0.8846,0.8519,0.9394
